ID;Latitud;Longitud;Beneficio
1;40.339261198363246;-3.8655234760277013;0
2;40.33722533626152;-3.8673449236673934;46
3;40.335282000364685;-3.868984130017217;65
4;40.3378266561742;-3.8643703050576734;31
5;40.33579099521234;-3.8690447823115535;67
6;40.33259788284626;-3.8640070036362353;45
7;40.331348698293304;-3.884705411168584;65
8;40.3322282140905;-3.8768753269450977;52
9;40.33569855497241;-3.8717157050969617;76
10;40.333570023876284;-3.8708660162154764;42
11;40.33366237254933;-3.8670418650623493;64
12;40.33454116528818;-3.8626105148587797;34
13;40.33000716733055;-3.877907121328418;39
14;40.328989007177505;-3.882519995020955;37
15;40.33287544450311;-3.863278550160779;43
16;40.33009966900173;-3.8711090406492277;34
17;40.331302230923676;-3.8635216383961706;45
18;40.32561120322712;-3.8825803163390074;34
19;40.32177087754989;-3.8787564463217126;48
20;40.322418540559326;-3.881790993715239;76
21;40.318994640104144;-3.8774211867192;34
22;40.31644963474804;-3.8800305621588422;28
23;40.311406117643536;-3.8760859789225655;64
24;40.31038811752396;-3.8771175243478306;76
25;40.308213323411564;-3.873962210497292;45
26;40.30765799859972;-3.871656470281606;35
27;40.306686251610024;-3.8711711016337493;65
28;40.30617707489138;-3.8679552717077286;44
29;40.305482602225354;-3.8637686764175547;54
30;40.306777860700315;-3.860613240194299;51
31;40.306037428975124;-3.8601886424774015;61
32;40.30631408499736;-3.854424174279956;43
33;40.308673048668346;-3.8499331301016375;82
34;40.30723904696978;-3.8519967369637715;64
35;40.307793118824144;-3.847020737369014;45
36;40.31158852619279;-3.85114580144526732;75
37;40.31070801565054;-3.8458059462248766;64
38;40.31566010387204;-3.849384509494905;51
39;40.31528884921274;-3.845136510578363;37
40;40.31769522911813;-3.8459244572795983;45
41;40.318852756665216;-3.8488371235077787;34
42;40.32116706765795;-3.852113603800484;46
43;40.31825322145853;-3.8595185477787197;39
44;40.31714345268293;-3.8663156580518114;47
45;40.315801841601086;-3.8706244341485534;51
46;40.31996635020509;-3.8740226896951877;62
47;40.32116923260206;-3.8689247820221517;53
48;40.321955974371726;-3.872141271721153;57
49;40.32204839796325;-3.8691674609624527;48
50;40.32075191614088;-3.8597607405803367;47
51;40.324222939188196;-3.8660719717855008;56
52;40.323991883650805;-3.871473571045382;45
53;40.325981527391946;-3.8710486052891877;32
54;40.32894283550933;-3.8698344937128915;62
55;40.329590541805075;-3.8680742308199076;45
56;40.329173925431085;-3.865585714436734;25
57;40.32884968347329;-3.8620046615738444;51
58;40.32857204136822;-3.861883324456544;38
59;40.32995986854386;-3.859273025085369;64
60;40.32769268904375;-3.8602447141542346;41
61;40.33074659560892;-3.8601226164000066;75
62;40.324916022578996;-3.8575141250935125;58
63;40.328247176158264;-3.855024653654148;32
64;40.32972786163738;-3.8549634979182823;62
65;40.33037640728026;-3.860001305624874;42
66;40.32103002346017;-3.8638268932812805;47
67;40.319176036608;-3.8462879830138883;33
68;40.32399140797175;-3.8640691655029564;45
69;40.32746078713397;-3.8564209144849104;34
70;40.3098326880912;-3.869047147580585;54
71;40.33412514744745;-3.8679523241502873;34
72;40.32338937793239;-3.859699450326433;47
73;40.31085065271771;-3.868622299028357;32
74;40.31820645374081;-3.8563021013920684;67
75;40.30927461491682;-3.8499936067225216;54
76;40.329729566368314;-3.8744473908489065;26
77;40.31455252340717;-3.8794842835067276;47
78;40.326628359520676;-3.859577309510472;57
79;40.313069355831146;-3.851630787592717;63
80;40.32616648673382;-3.8683780716884897;47
81;40.32473225412488;-3.8726873752535758;46
82;40.32764644787167;-3.860487508369193;43
83;40.3319491077817;-3.8561768171791084;56
84;40.337456786301715;-3.8689232090812844;51
85;40.32926644833697;-3.865342913427285;37
86;40.33185760617352;-3.864796224689491;29
87;40.31737337186328;-3.855209951246749;34
88;40.31126494490185;-3.8526629861446007;32
89;40.31353446981097;-3.869350246194932;27
90;40.32385280693598;-3.866557556595267;48
91;40.32172438900682;-3.867346796648349;59
92;40.32926663512229;-3.8679528730667756;38
93;40.31931762154889;-3.860671389017459;49
94;40.32598152746638;-3.8794242937020216;31
95;40.32598124487747;-3.8844011677026447;64
96;40.32177087754989;-3.8787564463217126;54
97;40.32103055791114;-3.8723840694235454;67
98;40.31182244922438;-3.88033365848502;45
99;40.32570256358504;-3.8570283597922597;37
100;40.32658312582394;-3.8756613069053985;34
101;40.330700405507635;-3.8607903134397046;63
102;40.31529120072771;-3.8555746556752135;45
103;40.33370879811108;-3.880638803788995;45
104;40.32459324142383;-3.8679533865966818;44
